Potential (V),Current (A),,
-0.478962421,-0.000405563,,
-0.483878851,-0.00040221,,
-0.489054024,-0.000399177,,
-0.493970454,-0.000396622,,
-0.498757482,-0.000391672,,
-0.493841052,-0.000375066,,
-0.488665879,-0.000361175,,
-0.484008223,-0.000347763,,
-0.478962421,-0.000335787,,
-0.473787248,-0.00032493,,
-0.468870848,-0.000313912,,
-0.464083791,-0.000303853,,
-0.459037989,-0.000294592,,
-0.453992218,-0.000285331,,
-0.448817015,-0.000276869,,
-0.444029987,-0.000268726,,
-0.439242959,-0.000260742,,
-0.434067786,-0.000253238,,
-0.429021984,-0.000246372,,
-0.424105555,-0.000239666,,
-0.418930382,-0.00023264,,
-0.414143354,-0.000226413,,
-0.40896818,-0.000220665,,
-0.403922379,-0.000214757,,
-0.398617804,-0.000208849,,
-0.393830776,-0.000203101,,
-0.388655603,-0.00019863,,
-0.383739173,-0.000193042,,
-0.379728407,-0.000211376,,
-0.373776972,-0.000174207,,
-0.368860543,-0.000169759,,
-0.363814741,-0.000165248,,
-0.35876894,-0.000161092,,
-0.35385254,-0.000156975,,
-0.348806739,-0.000152962,,
-0.343890309,-0.000149045,,
-0.339103281,-0.000145278,,
-0.333798736,-0.000141666,,
-0.329011679,-0.000138118,,
-0.323707134,-0.000134688,,
-0.319308221,-0.000131399,,
-0.314003676,-0.000127994,,
-0.30934602,-0.000124907,,
-0.304170847,-0.000121683,,
-0.298866272,-0.000118822,,
-0.294079244,-0.00011576,,
-0.289421588,-0.000112957,,
-0.284246415,-0.000110083,,
-0.279329985,-0.000107377,,
-0.273896039,-0.000104697,,
-0.269109011,-0.000102166,,
-0.264063209,-9.95E-05,,
-0.25914681,-9.71E-05,,
